"machinepin","dealeraccountnumber","recommendationid","feedbackcategory"
"1H0X910XKMB815118","083488",2024,"Visible"
"1T0700LXELF386422","178665",2276,"Visible"
"1RW7210RAFS085914","4P0300",1852,"Visible"
"1H0S770SCH0800114","060936",1751,"Visible"
"1H0S670SLH0795908","062152",1751,"Visible"
"1RW7210SVMD120454","230877",3132,"Visible"
"1H0X910XVME815073","039988",2024,"Visible"
"1RW7330SHLD110695","310533",3132,"Visible"
"1T0450KXKHF312274","177166",1456,"Visible"
"1T0310SLKJD334555","282586",2538,"Visible"
"1T0310SLHGF293771","170335",1374,"Visible"
"1FF210GXAED522364","282620",1476,"Visible"
"1Z0T670BJMU126901","270046",2571,"Visible"
"1DW624KZPGF678025","177418",2327,"Visible"
"1T0310SLCGF293778","179454",1374,"Visible"
"1RW7230SPMD120718","089796",3132,"Visible"
"1T0410LXLHF310249","177958",1726,"Visible"
"1DW624KZVHF679733","175957",2327,"Visible"
"1RW8360REBD046564","482910",1912,"Visible"
"1BM7215JVKH001040","201168",1989,"Visible"
"1RW9570RKGP915163","078999",1679,"Visible"
"1H0X910XAMB815092","088975",2024,"Visible"
"1DW744KXCED658447","177166",1361,"Visible"
"1L06155RAHP877378","4P0300",1692,"Visible"
"1T0310SLAFF284788","179019",1374,"Visible"
"1H0X911XVMB815123","088286",2024,"Visible"
"1RW8340DVMA183818","290117",2262,"Visible"
"1L06215RAGR869323","322058",1142,"Visible"
"1DW848LBHLF703540","178329",2075,"Visible"
"1DW744KXLHF684379","178711",2075,"Visible"
"1RW7210SJMD120984","039432",3132,"Visible"
"1FF350GXLKF813778","177417",2075,"Visible"
"1T0310SLCGF293778","179454",1374,"Visible"
"1RW6155RHJD033343","034678",1692,"Visible"
"1H0S770SJL0810360","089877",1751,"Visible"
"1L06215RVJR913729","311171",1692,"Visible"
"1BZ310LAAKC002602","282291",2538,"Visible"
"1NWC570HCJT180311","201174",1959,"Visible"
"1H0X910XEME815077","089126",1950,"Visible"
"1T0850KXTHF317280","177103",1655,"Visible"
"1T0310SLKJD334555","282586",2538,"Visible"
"1DW848LBHLF703540","178329",2075,"Visible"
"1T0310SKEFE275736","177102",1852,"Visible"
"1RW8345RCJS136158","48294A",2159,"Visible"
"1L06130RCLR980069","310524",2373,"Visible"
"1DW772GPALF708207","177936",2075,"Visible"
"1RW7215RHDC013159","089804",1655,"Visible"
"1T0310SKAEE272345","177101",1852,"Visible"
"1FF210GXAED522364","282620",1476,"Visible"
"1DW748LXAJF690256","177104",1655,"Visible"
"1RW8410DJLB180337","48HR10",2109,"Visible"
"1FF160GXPHF056840","179760",2067,"Visible"
"1T8C570HCLT200089","010102",2067,"Visible"
"1H0S770SEK0805330","064822",1751,"Visible"
"1L06175MTJK908851","323002",1833,"Visible"
"1RW7210SCMD121196","039432",3132,"Visible"
